,ano,mes,dia_semana,Qt_almoco,Qt_jantar,dia
405,2017,9,1,891,568,26
406,2017,9,2,847,535,27
407,2017,9,3,834,556,28
408,2017,9,4,707,392,29
409,2017,10,0,704,524,2
410,2017,10,1,900,545,3
411,2017,10,2,817,532,4
412,2017,10,3,848,527,5
413,2017,10,4,668,420,6
414,2017,10,0,746,514,9
415,2017,10,1,790,480,10
416,2017,10,2,708,402,11
417,2017,10,0,700,504,16
418,2017,10,1,854,523,17
419,2017,10,2,823,546,18
420,2017,10,3,861,533,19
421,2017,10,4,698,444,20
422,2017,10,0,700,528,23
423,2017,10,1,869,512,24
424,2017,10,2,809,448,25
425,2017,10,3,610,377,26
426,2017,10,4,504,214,27
427,2017,10,0,749,523,30
428,2017,10,1,833,518,31
429,2017,11,2,767,466,1
430,2017,11,4,290,192,3
431,2017,11,0,673,495,6
432,2017,11,1,808,472,7
433,2017,11,2,860,508,8
434,2017,11,3,841,485,9
435,2017,11,4,590,399,10
436,2017,11,0,660,470,13
437,2017,11,1,849,470,14
438,2017,11,3,769,507,16
439,2017,11,4,613,371,17
440,2017,11,0,663,464,20
441,2017,11,1,825,469,21
442,2017,11,2,838,556,22
443,2017,11,3,802,508,23
444,2017,11,4,663,409,24
445,2017,11,0,656,473,27
446,2017,11,1,800,524,28
447,2017,11,2,803,538,29
448,2017,11,3,749,499,30
449,2017,12,4,637,378,1
450,2017,12,0,649,430,4
451,2017,12,1,785,456,5
452,2017,12,2,786,486,6
453,2017,12,3,750,393,7
454,2017,12,0,563,396,11
455,2017,12,1,655,393,12
456,2017,12,2,625,437,13
457,2017,12,3,613,368,14
458,2017,12,4,403,213,15
459,2017,12,0,349,230,18
460,2017,12,1,379,219,19
461,2017,12,2,386,186,20
462,2017,12,3,283,111,21
463,2018,1,0,69,0,8
464,2018,1,1,112,0,9
465,2018,1,2,122,0,10
466,2018,1,3,115,0,11
467,2018,1,4,100,0,12
468,2018,1,0,117,0,15
469,2018,1,1,156,0,16
470,2018,1,2,167,0,17
471,2018,1,3,135,0,18
472,2018,1,4,120,0,19
473,2018,1,0,156,0,22
474,2018,1,1,151,0,23
475,2018,1,2,149,0,24
476,2018,1,3,130,0,25
477,2018,1,4,114,0,26
478,2018,1,0,144,0,29
479,2018,1,1,178,0,30
480,2018,1,2,179,0,31
481,2018,2,3,139,0,1
482,2018,2,4,119,0,2
483,2018,2,0,153,0,5
484,2018,2,1,155,0,6
485,2018,2,2,177,0,7
486,2018,2,3,175,0,8
487,2018,2,4,116,0,9
488,2018,2,3,127,0,15
489,2018,2,4,131,0,16
490,2018,2,0,189,0,19
491,2018,2,1,242,0,20
492,2018,2,2,301,0,21
493,2018,2,3,604,360,22
494,2018,2,4,446,219,23
495,2018,2,0,743,489,26
496,2018,2,1,825,519,27
497,2018,2,2,811,425,28
498,2018,3,3,796,470,1
499,2018,3,4,620,278,2
500,2018,3,0,695,507,5
501,2018,3,1,858,546,6
502,2018,3,2,902,525,7
503,2018,3,3,896,514,8
504,2018,3,4,751,400,9
505,2018,3,0,730,524,12
506,2018,3,1,844,525,13
507,2018,3,2,847,530,14
508,2018,3,3,829,516,15
509,2018,3,4,630,305,16
510,2018,3,1,617,465,20
511,2018,3,2,786,396,21
512,2018,3,3,834,519,22
513,2018,3,4,650,328,23
514,2018,3,0,771,543,26
515,2018,3,1,823,333,27
516,2018,3,2,763,395,28
517,2018,4,0,713,491,2
518,2018,4,1,852,539,3
519,2018,4,2,830,516,4
520,2018,4,3,889,527,5
521,2018,4,4,696,405,6
522,2018,4,0,772,488,9
523,2018,4,1,883,470,10
524,2018,4,2,878,481,11
525,2018,4,3,851,462,12
526,2018,4,4,726,364,13
527,2018,4,0,728,485,16
528,2018,4,1,851,501,17
529,2018,4,2,812,490,18
530,2018,4,3,799,439,19
531,2018,4,4,596,330,20
532,2018,4,0,761,486,23
533,2018,4,1,853,494,24
534,2018,4,2,794,510,25
535,2018,4,3,763,419,26
536,2018,4,4,597,334,27
537,2018,4,0,297,146,30
538,2018,5,2,765,469,2
539,2018,5,3,811,485,3
540,2018,5,4,652,362,4
541,2018,5,0,705,486,7
542,2018,5,1,827,502,8
543,2018,5,2,802,450,9
544,2018,5,3,832,475,10
545,2018,5,4,611,307,11
546,2018,5,0,651,483,14
547,2018,5,1,803,476,15
548,2018,5,2,774,472,16
549,2018,5,3,767,438,17
550,2018,5,4,650,359,18
551,2018,5,0,698,464,21
552,2018,5,1,795,486,22
553,2018,5,2,819,469,23
554,2018,5,3,710,483,24
555,2018,5,4,572,283,25
556,2018,5,0,669,433,28
557,2018,5,1,776,490,29
558,2018,5,2,686,381,30
559,2018,6,4,242,129,1
560,2018,6,0,660,486,4
561,2018,6,1,821,527,5
562,2018,6,2,828,471,6
563,2018,6,3,811,461,7
564,2018,6,4,650,371,8
565,2018,6,0,715,460,11
566,2018,6,1,761,449,12
567,2018,6,2,787,403,13
568,2018,6,3,751,438,14
569,2018,6,4,639,374,15
570,2018,6,0,624,428,18
571,2018,6,1,774,447,19
572,2018,6,2,756,429,20
573,2018,6,3,741,355,21
574,2018,6,0,529,382,25
575,2018,6,1,577,334,26
576,2018,6,2,374,0,27
577,2018,6,3,419,261,28
578,2018,6,4,356,163,29
579,2018,7,1,276,148,3
580,2018,7,2,186,0,4
581,2018,7,4,68,0,6
582,2018,7,0,115,0,9
583,2018,7,1,123,0,10
584,2018,7,2,125,0,11
585,2018,7,3,112,0,12
586,2018,7,4,94,0,13
587,2018,7,0,115,0,16
588,2018,7,1,119,0,17
589,2018,7,2,115,0,18
590,2018,7,3,91,0,19
591,2018,7,4,84,0,20
592,2018,7,0,94,0,23
593,2018,7,1,111,0,24
594,2018,7,2,118,0,25
595,2018,7,3,116,0,26
596,2018,7,4,122,0,27
597,2018,7,0,128,0,30
598,2018,7,1,160,0,31
599,2018,8,2,176,0,1
600,2018,8,3,162,0,2
601,2018,8,4,142,0,3
602,2018,8,0,732,486,6
603,2018,8,1,896,560,7
604,2018,8,2,877,530,8
605,2018,8,3,862,526,9
606,2018,8,4,604,340,10
607,2018,8,0,790,520,13
608,2018,8,1,876,553,14
609,2018,8,2,775,548,15
610,2018,8,3,799,555,16
611,2018,8,4,680,415,17
612,2018,8,0,778,567,20
613,2018,8,1,903,587,21
614,2018,8,2,862,584,22
615,2018,8,3,853,591,23
616,2018,8,4,640,359,24
617,2018,8,0,788,549,27
618,2018,8,1,898,561,28
619,2018,8,2,848,564,29
620,2018,8,3,845,550,30
621,2018,8,4,677,420,31
622,2018,9,0,799,567,3
623,2018,9,1,902,569,4
624,2018,9,2,817,529,5
625,2018,9,3,695,398,6
626,2018,9,0,732,546,10
627,2018,9,1,897,585,11
628,2018,9,2,786,581,12
629,2018,9,3,814,571,13
630,2018,9,4,643,403,14
631,2018,9,0,757,557,17
632,2018,9,1,853,538,18
633,2018,9,2,833,543,19
634,2018,9,3,809,530,20
635,2018,9,4,678,353,21
636,2018,9,0,739,518,24
637,2018,9,1,877,517,25
638,2018,9,2,815,522,26
639,2018,9,3,793,550,27
640,2018,9,4,592,370,28
641,2018,10,0,723,480,1
